recording date,grid position,session ID,trellis filenumber,mat filename,iontophoresis,voltage,isolation quality,plx file range,included trials,electode broken?,comment/electrode,general comment,included to analysis ?,excluded due to electordes,
,,,21,ka_0078_13.31.grating.CO.mat,control,,2.5,,,,,,,,
,,,22,ka_0078_13.33.grating.CO.mat,NaCl_60nA,1.1,2,,,,,,,,
,,,23,ka_0078_13.34.grating.CO.mat,NaCl_60nA,1.1,1.5,,,,,,,,
,,,24,ka_0078_13.35.grating.CO.mat,control,,3,,,,,,,,
,,,25,ka_0078_13.36.grating.CO.mat,control,,1,,,,,,,,
,,,27,ka_0078_13.43.grating.OR.mat,control,,1,,,,,,,,
,,,28,ka_0078_13.45.grating.OR.mat,NaCl_20nA,0.2,1,,,,,,,,
,,,31,ka_0078_13.47.grating.ORxCOxRC.mat,control,,3,,,,,,,,
,,,32,ka_0078_13.53.grating.ORxCOxRC.mat,control,,2,,,,,,,,
,,,33,ka_0078_13.55.grating.ORxCOxRC.mat,NaCl_20nA,0.2,2.5,,,,monkey manually rewarded,,,,
05/17/2016,"+7,+1",79,1,ka_0079_11.17.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0079_11.19.grating.YPos.mat,,,1.5,,,,,,,,
,,,3,ka_0079_11.20.grating.ORxM.mat,,,NaN,,,,,,,,
05/18/2016,"+6,-4",80,1,ka_0080_13.06.grating.XPos.mat,,,1.5,,,yes,"both side, 180 um 5HT and 80 um NaCl",,,,
,,,2,ka_0080_13.07.grating.YPos.mat,,,1,,,,,,,,
,,,4,ka_0080_13.08.grating.ORxM.mat,,,2,,,,,,,,
,,,5,ka_0080_13.11.grating.SF.mat,,,3.5,,,,,,,,
,,,6,ka_0080_13.12.grating.OR.mat,,,3,,,,,,,,
,,,7,ka_0080_13.13.grating.OR.mat,,,2.5,,,,,,,,
,,,8,ka_0080_13.15.grating.CO.mat,control,,2.5,,,,,,,,
,,,9,ka_0080_13.16.grating.CO.mat,5HT_15nA,0.1,2.5,,,,,,,,
,,,10,ka_0080_13.17.grating.CO.mat,control,,5,,,,,,,,
,,,12,ka_0080_13.21.grating.CO.mat,control,,5,,,,,,,,
,,,13,ka_0080_13.22.grating.CO.mat,control,,4.5,,,,,,,,
,,,14,ka_0080_13.25.grating.CO.mat,control,,2.5,,,,,,,,
,,81,1,ka_0081_14.44.grating.XPos.mat,,,"c1=2.5,c2=2.5",,,yes,"both side, 180 um 5HT and 80 um NaCl",,,,
,,82,1,ka_0082_14.49.grating.XPos.mat,,,3,,,yes,"both side, 180 um 5HT and 80 um NaCl",,,,
,,,2,ka_0082_14.49.grating.YPos.mat,,,2,,,,,,,,
,,,6,ka_0082_14.56.grating.ORxM.mat,,,2.5,,,,,,,,
,,,7,ka_0082_14.59.grating.SF.mat,,,3,,,,,,,,
,,,8,ka_0082_14.59.grating.OR.mat,control,,2.5,,,,,,,,
,,,9,ka_0082_15.01.grating.OR.mat,5HT_20nA,0.2,3,,,,,,,,
,,,10,ka_0082_15.03.grating.OR.mat,control,,3,,,,,,,,
,,,11,ka_0082_15.05.grating.OR.mat,NaCl_20nA,0.8,3.5,,,,,,,,
,,,12,ka_0082_15.07.grating.OR.mat,control,,3,,,,,,,,
,,,13,ka_0082_15.10.grating.OR.mat,control,,3,,,,,,,,
,,,14,ka_0082_15.12.grating.OR.mat,5HT_40nA,0.6,2.5,,,,,,,,
05/19/2016,"+2,0",83,1,ka_0083_13.29.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0083_13.30.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0083_13.31.grating.ORxM.mat,,,1.5,,,,,,,,
,,,4,ka_0083_13.34.grating.OR.mat,control,,1.5,,,,,,,,
,,,5,ka_0083_13.35.grating.OR.mat,5HT_15nA,0.8,1,,,,,,,,
,,84,1,ka_0084_14.41.grating.XPos.mat,,,3,,,no,,,,,
,,,2,ka_0084_14.42.grating.YPos.mat,,,3.5,,,,,,,,
,,,3,ka_0084_14.47.grating.ORxM.mat,,,1,,,,,,,,
,,,4,ka_0084_14.49.grating.OR.mat,control,,1,,,,,,,,
,,,5,ka_0084_14.50.grating.OR.mat,5HT_15nA,0.8,1,,,,,,,,
,,,6,ka_0084_14.52.grating.OR.mat,control,,2,,,,,,,,
05/20/2016,"-4,-4",85,1,ka_0085_11.13.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0085_11.14.grating.ORxM.mat,,,1,,,,,,,,
,,,3,ka_0085_11.14.grating.YPos.mat,,,1,,,,,,,,
,,,4,ka_0085_11.18.grating.CO.mat,control,,"c1=1,c2=2.5",,,,,,,,
,,,5,ka_0085_11.19.grating.CO.mat,5HT_15nA,0.6,"c1=1,c2=2",,,,,,,,
,,,6,ka_0085_11.20.grating.CO.mat,control,,"c1=1,c2=2",,,,,,,,
,,,7,ka_0085_11.21.grating.CO.mat,control,,"c1=1,c2=1",,,,,,,,
,,,8,ka_0085_11.22.grating.CO.mat,control,,"c1=1,c2=1",,,,,,,,
,,,9,ka_0085_11.23.grating.CO.mat,NaCl_15nA,0.6,"c1=1,c2=1",,,,,,,,
,,,10,ka_0085_11.24.grating.CO.mat,control,,"c1=1,c2=1",,,,,,,,
,,,11,ka_0085_11.26.grating.OR.mat,control,,"c1=1,c2=1",,,,,,,,
,,,12,ka_0085_11.28.grating.OR.mat,5HT_15nA,0.6,"c1=1,c2=2",,,,,,,,
,,,13,ka_0085_11.31.grating.OR.mat,control,,c1=1.5,3-end,3-end,,,,,,
,,,14,ka_0085_11.33.grating.OR.mat,NaCl_15nA,0.6,c1=1,,,,,,,,
,,,15,ka_0085_11.35.grating.OR.mat,control,,c1=1,,,,,,,,
,,,17,ka_0085_11.38.grating.ORxCOxRC.mat,control,,c1=3.5,,,,,,,,
,,,18,ka_0085_11.50.grating.ORxCOxRC.mat,NaCl_15nA,0.3,c1=3.5,0-400,1-152,,,,,,
,,86,2,ka_0086_12.03.grating.XPos.mat,,,2,,,no,,,,,
,,,3,ka_0086_12.04.grating.YPos.mat,,,2,,,,,,,,
,,,4,ka_0086_12.05.grating.ORxM.mat,,,2,,,,,,,,
,,,5,ka_0086_12.08.grating.SF.mat,,,2.5,,,,,,,,
,,,6,ka_0086_12.09.grating.OR.mat,control,,2.5,,,,,,,,
,,,7,ka_0086_12.11.grating.OR.mat,5HT_15nA,0.2,2.5,,,,,,,,
05/21/2016,"0,+3",87,1,ka_0087_12.27.grating.XPos.mat,,,2,,,no,,,,,
,,,2,ka_0087_12.28.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0087_12.29.grating.ORxM.mat,,,2.5,,,,,,,,
,,,4,ka_0087_12.31.grating.SF.mat,,,2,,,,,,,,
,,,5,ka_0087_12.32.grating.OR.mat,,,2,,,,,,,,
,,,6,ka_0087_12.39.grating.OR.mat,control,,2,,,,,,,,
,,,7,ka_0087_12.41.grating.OR.mat,5HT_16nA,0.2,2,,,,,,,,
,,,8,ka_0087_12.42.grating.OR.mat,control,,2,,,,,,,,
,,88,1,ka_0088_13.40.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0088_13.41.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0088_13.42.grating.ORxM.mat,,,1,,,,,,,,
,,,4,ka_0088_13.44.grating.SF.mat,,,2,,,,,,,,
,,,5,ka_0088_13.45.grating.OR.mat,control,,2,,,,,,,,
,,,6,ka_0088_13.47.grating.OR.mat,5HT_15nA,0.2,2,,,,,"first 20nA (0.4V), then 15 nA",,,
,,,7,ka_0088_13.48.grating.OR.mat,control,,2,,,,,,,,
,,89,1,ka_0089_13.58.grating.XPos.mat,,,1.5,,,no,,,,,
,,,2,ka_0089_13.59.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0089_14.00.grating.ORxM.mat,,,2,,,,,,,,
,,,4,ka_0089_14.02.grating.SF.mat,,,"c1=2.5,c2=2.5",,,,,,,,
,,,5,ka_0089_14.03.grating.OR.mat,,,"c1=1,c2=2",,,,,,,,
,,,6,ka_0089_14.05.grating.OR.mat,,,"c1=1, c2=2",,,,,,,,
,,90,1,ka_0090_14.21.grating.ORxM.mat,,,2,,,no,,,,,
,,,2,ka_0090_14.23.grating.CO.mat,control,,2.5,,,,,,,,
,,,3,ka_0090_14.24.grating.CO.mat,5HT_10nA,0.2,3.5,,,,,,,,
05/22/2016,"+3,-6",91,1,ka_0091_10.22.grating.XPos.mat,,,1,,,yes,NaCl side,,,,
,,92,1,ka_0092_12.42.grating.ORxM.mat,,,1,,,yes,NaCl side,,,,
,,,2,ka_0092_12.45.grating.CO.mat,,,2,,,,,,,,
,,,3,ka_0092_12.46.grating.CO.mat,,,3,,,,,,,,
,,,5,ka_0092_12.48.grating.XPos.mat,,,3,,,,,,,,
,,,7,ka_0092_12.52.grating.XPos.mat,,,2.5,,,,,,,,
,,,8,ka_0092_12.53.grating.YPos.mat,,,2,,,,,,,,
,,,10,ka_0092_12.54.grating.CO.mat,,,2.5,,,,,,,,
,,93,2,ka_0093_13.20.grating.XPos.mat,,,1,,,yes,NaCl side,,,,
,,,3,ka_0093_13.21.grating.ORxM.mat,,,1,,,,,,,,
,,,4,ka_0093_13.21.grating.YPos.mat,,,1,,,,,,,,
,,,5,ka_0093_13.24.grating.CO.mat,control,,1,,,,,,,,
,,,6,ka_0093_13.25.grating.CO.mat,5HT_15nA,0.1,1,,,,,,,,
,,,7,ka_0093_13.26.grating.CO.mat,control,,1,,,,,,,,
,,,8,ka_0093_13.27.grating.CO.mat,NaCl_15nA,0.1,1,,,,,,,,
,,,9,ka_0093_13.28.grating.CO.mat,control,,1,,,,,,,,
,,,10,ka_0093_13.30.grating.CO.mat,5HT_5nA,-0.1,1,0-18,Jan 22,,,,,,
05/23/2016,"0,-3",94,1,ka_0094_11.36.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0094_11.37.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0094_11.38.grating.ORxM.mat,control,,2,,,,,,,,
,,,4,ka_0094_11.41.grating.SF.mat,control,,2.5,,,,,,,,
,,95,1,ka_0095_12.40.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0095_12.40.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0095_12.41.grating.ORxM.mat,,,2.5,,,,,,,,
,,,4,ka_0095_12.44.grating.OR.mat,control,,3,,,,,,,,
,,,5,ka_0095_12.46.grating.OR.mat,NaCl _20nA,0.5,2,,,,,,,,
,,,6,ka_0095_12.47.grating.OR.mat,control,,2,,,,,,,,
,,,7,ka_0095_12.49.grating.OR.mat,5HT_20nA,0.5,1.5,,,,,,,,
,,,8,ka_0095_12.51.grating.OR.mat,control,,1.5,,,,,,,,
,,,9,ka_0095_12.53.grating.TF.mat,control,,2.5,,,,,,,,
,,,10,ka_0095_12.54.grating.OR.mat,control,,2,,,,,,,,
,,96,2,ka_0096_13.19.grating.XPos.mat,,,1,,,no,,,,,
,,,3,ka_0096_13.20.grating.YPos.mat,,,1,,,,,,,,
,,,4,ka_0096_13.21.grating.ORxM.mat,control,,2,,,,,,,,
,,,5,ka_0096_13.22.grating.ORxM.mat,control,,2,,,,,,,,
,,97,3,ka_0097_13.29.grating.ORxM.mat,,,"c1=2.5, c2=2.5",,,no,,,,,
,,,5,ka_0097_13.33.grating.SF.mat,,,"c1=2, c2=2",,,,,,,,
,,,6,ka_0097_13.34.grating.OR.mat,control,,"c1=1.5, c2=2.5",,,,,,,,
,,,7,ka_0097_13.35.grating.OR.mat,5HT_25nA,0.7,c1=1,,,,monkey moved a lot, repeated the session,,,,
,,,8,ka_0097_13.37.grating.OR.mat,5HT_25nA,0.7,c1=1,,,,,,,,
,,,9,ka_0097_13.39.grating.OR.mat,control,,c1=1,,,,,,,,
,,,10,ka_0097_13.41.grating.TF.mat,control,,c1=1,,,,,,,,
,,,11,ka_0097_13.43.grating.OR.mat,control,,c1=1,,,,,,,,
,,,12,ka_0097_13.45.grating.OR.mat,control,,"c1=1, c2=2",,,,,,,,
,,,13,ka_0097_13.47.grating.OR.mat,NaCl_25nA,0.6,"c1=1, c2=2",,,,,,,,
,,,14,ka_0097_13.49.grating.OR.mat,control,,"c1=1, c2=2",,,,,,,,
,,,15,ka_0097_13.50.grating.CO.mat,control,,c1=1,,,,,,,,
,,,16,ka_0097_13.52.grating.CO.mat,5HT_25nA,0.8,c1=1,,,,,,,,
,,,17,ka_0097_13.53.grating.CO.mat,control,,c1=1,,,,,,,,
,,,18,ka_0097_13.55.grating.CO.mat,control,,c1=1,,,,,,,,
,,,19,ka_0097_13.56.grating.CO.mat,control,,c1=1,,,,monkey is moving a lot,,,,
,,,20,ka_0097_13.57.grating.CO.mat,NaCl_25nA,0.6,c1=1.5,,,,,,,,
05/24/2016,"+5,+2",98,1,ka_0098_12.14.grating.XPos.mat,,,1,,,yes,"NaCl side, 20um",,,,
,,,2,ka_0098_12.15.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0098_12.15.grating.ORxM.mat,control,,2.5,,,,,,,,
,,,4,ka_0098_12.18.grating.OR.mat,control,,4,,,,,,,,
,,99,1,ka_0098_12.26.grating.ORxM.mat,control,,2,,,yes,"NaCl side, 20um",,,,
,,,2,ka_0099_12.29.grating.OR.mat,control,,1.5,,,,,,,,
,,,3,ka_0099_12.31.grating.OR.mat,5HT_15nA,0.6,2,,,,,,,,
,,,4,ka_0099_12.33.grating.OR.mat,control,,2.5,,,,,,,,
,,,5,ka_0099_12.37.grating.OR.mat,control,,2,,,,,,,,
,,100,1,ka_0100_12.38.grating.ORxM.mat,control,,4,,,yes,"NaCl side, 20um",,,,
05/25/2016,"-2,-7",101,1,ka_0101_10.02.grating.XPos.mat,,,c1=1,,,yes,"both side, 20um both",,,,
,,,2,ka_0101_10.03.grating.YPos.mat,,,c1=1,,,,,,,,
,,,3,ka_0101_10.04.grating.ORxM.mat,,,c1=1,,,,,,,,
,,,4,ka_0101_10.07.grating.SF.mat,,,c1=1.5,,,,,,,,
,,,5,ka_0101_10.08.grating.OR.mat,control,,"c1=1,c2=1.5",,,,,,,,
,,,6,ka_0101_10.10.grating.OR.mat,control,,"c1=1.5,c2=2",,,,,,,,
,,,7,ka_0101_10.12.grating.OR.mat,5HT_15nA,0.4,"c1=1.5,c2=2",,,,,,,,
,,,8,ka_0101_10.14.grating.OR.mat,control,,"c1=2,c2=2.5",,,,,,,,
,,,9,ka_0101_10.17.grating.OR.mat,NaCl_15nA,0.4,"c1=2,c2=2.5",,,,,,,,
,,102,1,ka_0102_10.28.grating.XPos.mat,,,"c1=1,c2=1",,,yes,"both side, 20um both",,,,
,,,2,ka_0102_10.29.grating.YPos.mat,,,"c1=1,c2=1",,,,,,,,
,,,4,ka_0102_10.30.grating.ORxM.mat,control,,c1=1,,,,,,,,
,,,5,ka_0102_10.33.grating.SF.mat,control,,c1=1,,,,,,,,
,,103,1,ka_0103_10.52.grating.XPos.mat,,,1,,,yes,"both side, 20um both",,,,
,,,2,ka_0103_10.53.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0103_10.54.grating.ORxM.mat,,,1,,,,,,,,
,,,4,ka_0103_10.56.grating.SF.mat,,,2,,,,,,,,
,,,5,ka_0103_10.58.grating.OR.mat,control,,1.5,,,,,,,,
,,,6,ka_0103_11.00.grating.OR.mat,5HT_20nA,0.7,1.5,,,,,,,,
,,,7,ka_0103_11.01.grating.OR.mat,control,,1.5,,,,,,,,
,,,8,ka_0103_11.03.grating.OR.mat,NaCl_20nA,0.7,1.5,,,,,,,,
,,,9,ka_0103_11.05.grating.OR.mat,control,,1.5,,,,,,,,
,,,10,ka_0103_11.06.grating.TF.mat,control,,1.5,,,,,,,,
,,,11,ka_0103_11.08.grating.SF.mat,control,,3,,,,,,,,
,,,12,ka_0103_11.09.grating.CO.mat,control,,2,,,,,,,,
,,,13,ka_0103_11.10.grating.CO.mat,5HT_25nA,1,1.5,,,,,,,,
,,,14,ka_0103_11.11.grating.CO.mat,control,,1.5,,,,,,,,
,,,15,ka_0103_11.12.grating.CO.mat,NaCl_25nA,1,2,,,,,,,,
,,,16,ka_0103_11.13.grating.CO.mat,control,,2.5,,,,,,,,
,,,18,ka_0103_11.17.grating.ORxCOxRC.mat,control,,3,,,,,,,,
,,,19,ka_0103_11.25.grating.ORxCOxRC.mat,NaCl_25nA,0.7,3,,,,,,,,
05/26/2016,"+7,-4",104,1,ka_0104_15.40.grating.XPos.mat,,,"c1=1,c2=2",,,no,,,,,
,,,2,ka_0104_15.40.grating.YPos.mat,,,"c1=1,c2=1",,,,,,,,
,,105,1,ka_0105_17.34.grating.XPos.mat,,,"c1=1.5, c2=2.5",,,no,,,,,
,,,2,ka_0105_17.35.grating.YPos.mat,,,"c1=2.5, c2=2.5",,,,,,,,
,,,3,ka_0105_17.37.grating.XPos.mat,,,c1=1,,,,,,,,
,,,4,ka_0105_17.38.grating.YPos.mat,,,c1=1,,,,,,,,
,,,5,ka_0105_17.39.grating.ORxM.mat,,,c1=3,,,,,,,,
05/27/2016,"-4,+1",106,1,ka_0106_14.27.grating.XPos.mat,,,2,,,no,,,,,
,,,2,ka_0106_14.28.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0106_14.29.grating.ORxM.mat,control,,"c1=2,c2=3",,,,,,,,
,,,4,ka_0106_14.36.grating.ORxM.mat,control,,c1=3,,,,,,,,
,,,5,ka_0106_14.39.grating.CO.mat,control,,c1=3,,,,,,,,
,,,6,ka_0106_14.42.grating.CO.mat,control,,c1=3,,,,,,,,
,,,7,ka_0106_14.43.grating.CO.mat,control,,c1=3.5,,,,,,,,
,,,8,ka_0106_14.44.grating.CO.mat,control,,c1=3,,,,,,,,
06.02.2016,"+3,-2",107,1,ka_0107_14.05.grating.XPos.mat,,,1,,,yes,"both side, 150 um on  5HT, 200 um on NaCl",,,,
,,,2,ka_0107_14.05.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0107_14.06.grating.ORxM.mat,,,NaN,,,,,,,,
,,108,1,ka_0108_14.26.grating.XPos.mat,,,1,,,yes,"both side, 150 um on  5HT, 200 um on NaCl",,,,
,,,2,ka_0108_14.26.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0108_14.27.grating.ORxM.mat,,,1,,,,,,,,
,,109,1,ka_0109_14.56.grating.XPos.mat,,,2,,,yes,"both side, 150 um on  5HT, 200 um on NaCl",,,,
,,,2,ka_0109_14.57.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0109_14.58.grating.ORxM.mat,,,3,,,,,,,,
,,110,1,ka_0110_15.09.grating.XPos.mat,,,"c1=2,c2=2",,,yes,"both side, 150 um on  5HT, 200 um on NaCl",,,,
,,,2,ka_0110_15.09.grating.YPos.mat,,,"c1=3,c2=3",,,,,,,,
,,,3,ka_0110_15.10.grating.ORxM.mat,,,"c1=3,c2=3",,,,,,,,
,,,4,ka_0110_15.13.grating.OR.mat,,,"c1=3,c2=3",,,,,,,,
,,,5,ka_0110_15.15.grating.OR.mat,,,"c1=3,c2=3",,,,,,,,
,,111,1,ka_0111_15.40.grating.XPos.mat,,,2,,,yes,"both side, 150 um on  5HT, 200 um on NaCl",,,,
,,,2,ka_0111_15.40.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0111_15.42.grating.ORxM.mat,,,3,,,,,,,,
,,,4,ka_0111_15.43.grating.ORxM.mat,,,3,,,,,,,,
,,,5,ka_0111_15.46.grating.CO.mat,control,,2.5,,,,,,,,
,,,6,ka_0111_15.47.grating.CO.mat,5HT_15nA,0.3,3,,,,,monkey was moving,,,
,,,7,ka_0111_15.48.grating.CO.mat,5HT_15nA,0.3,3,,,,,,,,
,,,8,ka_0111_15.49.grating.CO.mat,control,,3,,,,,,,,
,,,9,ka_0111_15.50.grating.CO.mat,control,,3.5,,,,,,,,
,,112,1,ka_0112_16.20.grating.ORxM.mat,,,1,,,yes,"both side, 150 um on  5HT, 200 um on NaCl",,,,
,,,2,ka_0112_16.22.grating.SF.mat,,,1.5,,,,,,,,
,,,3,ka_0112_16.23.grating.OR.mat,control,,2,,,,,,,,
,,,4,ka_0112_16.27.grating.OR.mat,5HT_55nA,0,2,,,,,,,,
,,,5,ka_0112_16.29.grating.OR.mat,control,,3,,,,,,,,
,,,6,ka_0112_16.31.grating.OR.mat,NaCl_51nA,0.1,2,,,,,,,,
,,,7,ka_0112_16.37.grating.OR.mat,control,,3,,,,,,,,
06/15/2016,"+1,+2",113,1,ka_0113_11.22.grating.XPos.mat,,,1,,,yes,"both side, 20 um on 5HT, 80 um on NaCl",,,,
,,,2,ka_0113_11.23.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0113_11.24.grating.ORxM.mat,,,1,,,,,,,,
,,,4,ka_0113_11.27.grating.SF.mat,,,1,,,,,,,,
,,,5,ka_0113_11.28.grating.OR.mat,control,,1,,,,,,,,
,,,6,ka_0113_11.30.grating.OR.mat,5HT_15nA,0.1,1,,,,,,,,
,,,7,ka_0113_11.32.grating.OR.mat,control,,1,,,,,,,,
,,,8,ka_0113_11.35.grating.TF.mat,control,,1,,,,,,,,
,,,9,ka_0113_11.36.grating.OR.mat,control,,1,,,,,,,,
07/30/16,"+2,-1",114,1,ka_0114_14.02.grating.XPos.mat,,,2,,,no,,,,,
,,,2,ka_0114_14.03.grating.YPos.mat,,,1.5,,,,,,,,
,,,3,ka_0114_14.03.grating.ORxM.mat,,,"c1=3, c2=3",,,,,,,,
07/31/16,"+4,+1",115,1,ka_0115_13.02.grating.XPos.mat,,,"c1=2, c2=2, c3=3",,,no,,,,,
,,,2,ka_0115_13.03.grating.YPos.mat,,,"c1=2, c2=2,c3=3",,,,,,,,
,,,3,ka_0115_13.04.grating.ORxM.mat,,,"c1=1.5, c2=3",,,,,,,,
,,,4,ka_0115_13.06.grating.CO.mat,control,,"c1=1.5, c2=3",,,,,,,,
,,,5,ka_0115_13.07.grating.CO.mat,control,,"c1=1.5, c2=3",,,,,,,,
,,,6,ka_0115_13.08.grating.CO.mat,5HT_15nA,0.4,"c1=1.5, c2=2",,,,,,,,
08.04.2016,"+6,-1",116,2,ka_0116_15.10.grating.XPos.mat,,,2,,,yes,"NaCl side, 40 um",,,,
,,,3,ka_0116_15.11.grating.YPos.mat,,,2,,,,,,,,
,,,4,ka_0116_15.12.grating.ORxM.mat,,,3,,,,,,,,
,,,5,ka_0116_15.15.grating.CO.mat,control,,3.5,,,,,,,,
,,,6,ka_0116_15.16.grating.CO.mat,control,,3.5,,,,,,,,
,,,7,ka_0116_15.17.grating.CO.mat,5HT_15nA,0.5,2.5,,,,,,,,
,,,8,ka_0116_15.19.grating.CO.mat,control,,3,,,,,,,,
,,117,1,ka_0117_15.35.grating.XPos.mat,,,1,,,yes,"NaCl side, 40 um",,,,
,,,2,ka_0117_15.36.grating.YPos.mat,,,NaN,,,,,,,,
,,118,1,ka_0118_15.37.grating.XPos.mat,,,1.5,,,yes,"NaCl side, 40 um",,,,
,,,2,ka_0118_15.38.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0118_15.39.grating.ORxM.mat,,,2,,,,,,,,
,,,4,ka_0118_15.42.grating.SF.mat,,,1,,,,,,,,
,,,5,ka_0118_15.43.grating.CO.mat,control,,1,,,,,,,,
,,,6,ka_0118_15.44.grating.CO.mat,5HT_10nA,0.2,1.5,,,,,,,,
,,,7,ka_0118_15.45.grating.CO.mat,control,,1.5,,,,,,,,
,,119,1,ka_0119_17.03.grating.XPos.mat,,,1,,,yes,"NaCl side, 40 um",,,,
,,,2,ka_0119_17.04.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0119_17.05.grating.ORxM.mat,,,,,,,,,,,
08.05.2016,"+1,+3",120,2,ka_0120_12.21.grating.XPos.mat,,,2,,,no,,,,,
,,,3,ka_0120_12.21.grating.YPos.mat,,,2,,,,,,,,
,,,4,ka_0120_12.22.grating.ORxM.mat,,,1.5,,,,,,,,
,,,5,ka_0120_12.23.grating.ORxM.mat,,,3,,,,,,,,
,,,6,ka_0120_12.26.grating.CO.mat,,,3,,,,,,,,
,,,7,ka_0120_12.27.grating.CO.mat,,,3,,,,,,,,
,,,8,ka_0120_12.28.grating.CO.mat,,,2.5,,,,,,,,
08.09.2016,"+2,+1",121,2,ka_0121_11.34.grating.XPos.mat,,,1,,,no,,,,,
,,,3,ka_0121_11.34.grating.YPos.mat,,,1,,,,,,,,
,,,4,ka_0121_11.36.grating.ORxM.mat,,,2,,,,,,,,
,,,5,ka_0121_11.39.grating.CO.mat,control,,2,,,,,,,,
,,,6,ka_0121_11.40.grating.CO.mat,5HT_10nA,0.1,3,,,,,,,,
,,,7,ka_0121_11.41.grating.CO.mat,control,,2.5,,,,,,,,
,,122,2,ka_0122_13.30.grating.ORxM.mat,,,1.5,,,no,,,,,
,,,3,ka_0122_13.33.grating.CO.mat,control,,2.5,,,,,,,,
,,,4,ka_0122_13.34.grating.CO.mat,control,,2,,,,,,,,
,,,5,ka_0122_13.36.grating.CO.mat,5HT_5nA,0,2,,,,,,,,
,,,6,ka_0122_13.37.grating.CO.mat,control,,2,,,,,,,,
,,,7,ka_0122_13.38.grating.CO.mat,5HT_10nA,0.2,1,,,,,,,,
,,,8,ka_0122_13.39.grating.CO.mat,control,,1,,,,,,,,
,,,9,ka_0122_13.40.grating.CO.mat,5HT_20nA,0.4,1,,,,,,,,
,,,10,ka_0122_13.41.grating.CO.mat,control,,1,,,,,,,,
,,,11,ka_0122_13.43.grating.CO.mat,5HT_30nA,0.8,1,,,,,,,,
,,,12,ka_0122_13.44.grating.CO.mat,control,,1.5,,,,,,,,
,,,13,ka_0122_13.45.grating.CO.mat,NaCl_15nA,0.3,1.5,,,,,,,,
,,,14,ka_0122_13.46.grating.CO.mat,control,,1.5,,,,,,,,
08/24/16,"0,-1",123,1,ka_0123_11.07.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0123_11.07.grating.YPos.mat,,,2,,,,,,,,
,,124,1,ka_0124_13.48.grating.XPos.mat,,,"c1=2,c2=2",,,no,,,,,
,,,2,ka_0124_13.48.grating.YPos.mat,,,"c1=2,c2=2",,,,,,,,
,,,3,ka_0124_13.49.grating.ORxM.mat,,,"c1=3.5,c2=3.5",,,,,,,,
08/25/16,"-1,-5",125,1,ka_0125_14.52.grating.XPos.mat,,,1,,,yes,"NaCl side, 20 um",,,,
,,,2,ka_0125_14.53.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0125_14.53.grating.ORxM.mat,control,,1,,,,,,,,
,,,4,ka_0125_14.57.grating.CO.mat,control,,1,,,,,,,,
,,,5,ka_0125_14.58.grating.CO.mat,5HT_10nA,0.1,1,,,,,,,,
,,,6,ka_0125_14.59.grating.CO.mat,control,,1,,,,,,,,
,,,7,ka_0125_15.00.grating.SF.mat,control,,1,,,,,,,,
,,,10,ka_0125_15.04.grating.CO.mat,control,,2,,,,,,,,
,,,11,ka_0125_15.05.grating.CO.mat,5HT_20nA,0.4V,1,,,,,,,,
,,,12,ka_0125_15.06.grating.CO.mat,control,,2,,,,,,,,
,,,13,ka_0125_15.08.grating.TF.mat,control,,2.5,,,,,,,,
,,,14,ka_0125_15.10.grating.CO.mat,control,,2.5,,,,,,,,
,,,17,ka_0125_15.17.grating.CO.mat,control,,2.5,,,,,,,,
,,,18,ka_0125_15.26.grating.CO.mat,control,,2,,,,,,,,
,,126,1,ka_0126_17.27.grating.XPos.mat,,,"c1=1, c2=2",,,yes,"NaCl side, 20 um",,,,
,,,2,ka_0126_17.27.grating.YPos.mat,,,"c1=1, c2=2",,,,,,,,
,,,3,ka_0126_17.28.grating.ORxM.mat,control,,"c1=1, c2=2.5, c3=2",,,,,,,,
,,,4,ka_0126_17.31.grating.SF.mat,control,,"c1=1, c2=2",,,,,,,,
