recording date,grid position,session ID,trellis filenumber,mat filename,iontophoresis,voltage,isolation quality,plx file range,included trials,electode broken?,comment/electrode,general comment,included to analysis ?,excluded due to electordes,
,,,9,ka_0024_11.44.grating.CO.mat,control,,2,,,,,,,,
,,,10,ka_0024_11.45.grating.CO.mat,5HT_20nA,0.8,1,,,,,,,,
,,,11,ka_0024_11.47.grating.CO.mat,control,,1,,,,,,,,
,,,12,ka_0024_11.48.grating.CO.mat,NaCl_20nA,0.1,1,,,,,,,,
,,,13,ka_0024_11.49.grating.CO.mat,control,,1,,,,,,,,
,,,14,ka_0024_11.51.grating.CO.mat,5HT_30nA,1.1,1,,,,,,,,
,,,15,ka_0024_11.53.grating.CO.mat,control,,1,,,,,,,,
,,,16,ka_0024_11.54.grating.TF.mat,control,,1.5,,,,,,,,
,,,17,ka_0024_11.56.grating.CO.mat,control,,1,,,,,,,,
,,,18,ka_0024_11.57.grating.CO.mat,NaCl_30nA,0.4,1.5,,,,,,,,
,,,19,ka_0024_11.58.grating.CO.mat,control,,1,,,,,,,,
,,,20,ka_0024_12.01.grating.CO.mat,5HT_50nA,1.9,2,,,,,,,,
,,,21,ka_0024_12.02.grating.CO.mat,control,,1,,,,,,,,
,,,22,ka_0024_12.03.grating.CO.mat,control,,1,,,,,,,,
,,,23,ka_0024_12.04.grating.CO.mat,control,,1,,,,,,,,
,,,24,ka_0024_12.05.grating.CO.mat,NaCl_50nA,0.9,1,,,,,,,,
,,,25,ka_0024_12.06.grating.CO.mat,control,,1,,,,,,,,
,,,27,ka_0024_12.08.grating.ORxCOxRC.mat,control,,2.5,,,,,,,,
,,,28,ka_0024_12.20.grating.ORxCOxRC.mat,5HT_40nA,1.1,2.5,,,,decrease the current till 20nA,decreasing dose to 20nA,,,
04.09.2016,"-4,-1",25,1,ka_0025_13.39.grating.XPos.mat,,,1,,,yes,"on NaCl side, 60 um",,,,
,,,2,ka_0025_13.39.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0025_13.40.grating.ORxM.mat,,,2,,,,,,,,
,,,4,ka_0025_13.44.grating.OR.mat,,,2,,,,,,,,
,,,5,ka_0025_13.44.grating.SF.mat,,,2.5,,,,,,,,
,,,6,ka_0025_13.45.grating.OR.mat,control,,3,,,,,,,,
,,,7,ka_0025_13.47.grating.OR.mat,5HT_10nA,0.3,3,,,,,,,,
,,,8,ka_0025_13.49.grating.OR.mat,control,,3,,,,,,,,
,,,10,ka_0025_13.50.grating.TF.mat,control,,4,,,,,,,,
,,,11,ka_0025_13.52.grating.OR.mat,control,,2.5,,,,,,,,
,,,12,ka_0025_13.54.grating.OR.mat,control,,2.5,,,,,,,,
,,,13,ka_0025_13.55.grating.OR.mat,control,,2.5,,,,,,,,
,,,14,ka_0025_13.57.grating.CO.mat,control,,2,,,,,,,,
,,,15,ka_0025_13.58.grating.CO.mat,5HT_15nA,0.4,2,,,,,,,,
,,,16,ka_0025_13.59.grating.CO.mat,control,,2,,,,,,,,
,,,17,ka_0025_14.00.grating.CO.mat,control,,2,,,,,,,,
,,,24,ka_0025_14.06.grating.SF.mat,control,,3,,,,,,,,
,,,25,ka_0025_14.07.grating.SF.mat,control,,3.5,,,,,,,,
,,,26,ka_0025_14.08.grating.CO.mat,control,,4,,,,,,,,
,,,27,ka_0025_14.10.grating.TF.mat,control,,4,,,,,,,,
,,,28,ka_0025_14.12.grating.OR.mat,control,,4,,,,,,,,
,,,29,ka_0025_14.13.grating.OR.mat,5HT_15nA,0.4,3,0-68,Jan 99,,,,,,
,,,30,ka_0025_14.16.grating.TF.mat,control,,5,,,,,MUA,,,
04.10.2016,"-3,+4",26,1,ka_0026_12.23.grating.XPos.mat,,,"c1=1,c2=3",,,no,,,,,
,,,2,ka_0026_12.23.grating.YPos.mat,,,"c1=1,c2=2.5",,,,,,,,
,,,3,ka_0026_12.24.grating.ORxM.mat,,,c1=2,,,,,,,,
,,,4,ka_0026_12.27.grating.SF.mat,,,c1=1,,,,,,,,
,,,5,ka_0026_12.28.grating.CO.mat,control,,c1=1,,,,,,,,
,,,6,ka_0026_12.29.grating.CO.mat,5HT_10nA,0.4,c1=1,,,,,,,,
